nom_commune,nom,siren,code_naf,tranche_effectif,adresse,cp_entreprise,latitude,longitude,libelle_naf,libelle_tranche
ÉCHIROLLES,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.1441,5.7148,Autres services de restauration n.c.a.,10 000 salariés et plus
ÉCHIROLLES,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.1441,5.7148,Autres intermédiations monétaires,10 000 salariés et plus
ÉCHIROLLES,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.1441,5.7148,Services auxiliaires des transports terrestres,10 000 salariés et plus
ÉCHIROLLES,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.1441,5.7148,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
ÉCHIROLLES,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.1441,5.7148,Autres intermédiations monétaires,10 000 salariés et plus
ÉCHIROLLES,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.1441,5.7148,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
ÉCHIROLLES,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.1441,5.7148,Télécommunications filaires,10 000 salariés et plus
ÉCHIROLLES,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.1441,5.7148,Restauration collective sous contrat,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.1782,5.7646,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.1782,5.7646,Production d'électricité,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.1782,5.7646,Autres services de restauration n.c.a.,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.1782,5.7646,Autres intermédiations monétaires,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.1782,5.7646,Services auxiliaires des transports terrestres,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.1782,5.7646,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.1782,5.7646,Autres intermédiations monétaires,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.1782,5.7646,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
SAINT-MARTIN-D'HÈRES,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.1782,5.7646,Télécommunications filaires,10 000 salariés et plus
SAINT-MARTIN-D'HÈRES,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.1782,5.7646,Restauration collective sous contrat,10 000 salariés et plus
VILLEFONTAINE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.6161,5.1549,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
VILLEFONTAINE,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.6161,5.1549,Production d'électricité,10 000 salariés et plus
VILLEFONTAINE,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.6161,5.1549,Autres services de restauration n.c.a.,10 000 salariés et plus
VILLEFONTAINE,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.6161,5.1549,Autres intermédiations monétaires,10 000 salariés et plus
VILLEFONTAINE,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.6161,5.1549,Services auxiliaires des transports terrestres,10 000 salariés et plus
VILLEFONTAINE,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.6161,5.1549,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
VILLEFONTAINE,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.6161,5.1549,Autres intermédiations monétaires,10 000 salariés et plus
VILLEFONTAINE,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.6161,5.1549,Télécommunications filaires,10 000 salariés et plus
